G174 → best=0.0791, avg=0.0497, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G175 → best=0.0791, avg=0.0493, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G176 → best=0.0791, avg=0.0497, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G177 → best=0.0791, avg=0.0500, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G178 → best=0.0791, avg=0.0490, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G179 → best=0.0791, avg=0.0491, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G180 → best=0.0791, avg=0.0496, H_norm=0.73, mut_cat=0.25, mut_cont=0.07
G181 → best=0.0791, avg=0.0495, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G182 → best=0.0791, avg=0.0492, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G183 → best=0.0791, avg=0.0489, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G184 → best=0.0791, avg=0.0495, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G185 → best=0.0791, avg=0.0493, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G186 → best=0.0791, avg=0.0496, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G187 → best=0.0791, avg=0.0493, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G188 → best=0.0791, avg=0.0496, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G189 → best=0.0791, avg=0.0500, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G190 → best=0.0791, avg=0.0495, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G191 → best=0.0791, avg=0.0499, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G192 → best=0.0791, avg=0.0496, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G193 → best=0.0791, avg=0.0493, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G194 → best=0.0791, avg=0.0497, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G195 → best=0.0791, avg=0.0495, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G196 → best=0.0791, avg=0.0496, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G197 → best=0.0791, avg=0.0498, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G198 → best=0.0791, avg=0.0495, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G199 → best=0.0791, avg=0.0500, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G200 → best=0.0791, avg=0.0493, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G201 → best=0.0791, avg=0.0499, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G202 → best=0.0791, avg=0.0498, H_norm=0.73, mut_cat=0.25, mut_cont=0.07
G203 → best=0.0791, avg=0.0494, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G204 → best=0.0791, avg=0.0500, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G205 → best=0.0791, avg=0.0498, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G206 → best=0.0791, avg=0.0495, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G207 → best=0.0791, avg=0.0502, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G208 → best=0.0791, avg=0.0496, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G209 → best=0.0791, avg=0.0496, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G210 → best=0.0791, avg=0.0496, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G211 → best=0.0791, avg=0.0494, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G212 → best=0.0791, avg=0.0493, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G213 → best=0.0791, avg=0.0493, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G214 → best=0.0791, avg=0.0496, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G215 → best=0.0791, avg=0.0496, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G216 → best=0.0791, avg=0.0500, H_norm=0.73, mut_cat=0.25, mut_cont=0.07
G217 → best=0.0791, avg=0.0495, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G218 → best=0.0791, avg=0.0493, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G219 → best=0.0791, avg=0.0490, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G220 → best=0.0791, avg=0.0493, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G221 → best=0.0791, avg=0.0492, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G222 → best=0.0791, avg=0.0495, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G223 → best=0.0791, avg=0.0487, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G224 → best=0.0791, avg=0.0491, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G225 → best=0.0791, avg=0.0496, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G226 → best=0.0791, avg=0.0490, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G227 → best=0.0791, avg=0.0495, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G228 → best=0.0791, avg=0.0498, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G229 → best=0.0791, avg=0.0497, H_norm=0.73, mut_cat=0.25, mut_cont=0.07
G230 → best=0.0791, avg=0.0498, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G231 → best=0.0791, avg=0.0500, H_norm=0.73, mut_cat=0.25, mut_cont=0.07
G232 → best=0.0791, avg=0.0500, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G233 → best=0.0791, avg=0.0495, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G234 → best=0.0791, avg=0.0497, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
